資料集識別碼,資料集名稱,資料提供屬性,服務分類,品質檢測,檔案格式,資料下載網址,編碼格式,資資料集上架方式,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註,資料量
177182,全國地方稅網路與臨櫃申報件數統計表,檔案資料,公共資訊,無(品檢未過),CSV;CSV,https://ws-tm.cyhg.gov.tw/001/Upload/1330/relfile/13620/251162/2f995f22-78ca-4f44-8379-1e8e6f219258.csv;https://ws-tm.cyhg.gov.tw/001/Upload/1330/relfile/13620/251162/34f14690-5cc2-4286-9d91-cd630873b492.csv,BIG-5;BIG-5,系統介接程式,全國地方稅網路與臨櫃申報件數統計表_資料集描述,,嘉義縣財政稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,黃 先生,05-3620909#605,2026-03-10 00:50:00,2026-03-10 00:57:35,,
177209,臺灣高等檢察署花蓮檢察分署115年度2月份會計月報,檔案資料,公共資訊,金,ZIP,https://www.hlh.moj.gov.tw/media/430858/115%E5%B9%B42%E6%9C%88%E4%BB%BD%E6%9C%83%E8%A8%88%E6%9C%88%E5%A0%B1xml%E6%AA%94.zip?mediaDL=true,UTF-8,原始資料,會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;業務計畫或工作計畫;經資門;執行數;會計分類;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;基金別;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;金額_本月數;金額_累計數;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;預算項目;預算執行數;調整數;會計收支;會計科目,臺灣高等檢察署花蓮檢察分署,不定期更新,政府資料開放授權條款-第1版,,免費,林小姐,03-8225112#204,2026-03-12 00:00:00,2026-03-12 15:45:44,,172
177213,115年2月花蓮縣各項稅捐實徵淨額與預算數及上年同期比較-本月數,檔案資料,公共資訊,白金,CSV,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjA0ODAyLzBiMDE2NGYwLTQ5M2YtNDE2Ny1iN2JhLWIxODE2NWU2ZGVhYi5jc3Y%3d&n=MTE15bm0MuaciOiKseiTrue4o%2bWQhOmgheeoheaNkOWvpuW%2btea3qOmhjeiIh%2bmgkOeul%2baVuOWPiuS4iuW5tOWQjOacn%2bavlOi8gy3mnKzmnIjmlbguY3N2,UTF-8,原始資料,花蓮縣各項稅捐實徵淨額與預算數及上年同期比較-本月數,稅目別;本月實徵數合計(新臺幣元);本月實徵數本年度(新臺幣元);本月實徵數以前年度(新臺幣元);本月退還以前年度歲入款(新臺幣元);本月實徵淨額(新臺幣元);本月分配預算數(新臺幣元);本月實徵淨額占預算數(%);上年同月實徵淨額(新臺幣元);本月實徵淨額與上年同月比較增減(%),花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,陳可威,03-8226121#153,2026-03-12 00:00:00,2026-03-12 15:56:44,,25
177259,臺中市113年11月份十大易肇事路段(口),檔案資料,交通及通訊,白金,CSV,https://newdatacenter.taichung.gov.tw/api/v1/no-auth/resource.download?rid=181d067d-5208-4873-8701-5bede808c72a,UTF-8,系統介接程式,臺中市113年11月份十大高肇事路口交通事故資料,編號;縣市別代碼;市話;轄區分局;路口名稱;A1;A2;A3;總件數;死亡人數;受傷人數;發生時間;主要肇因,臺中市政府警察局,不定期更新,政府資料開放授權條款-第1版,,免費,施先生,(04)23272933,2025-02-04 14:21:07,2026-05-06 11:27:14,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387130000C ，Swagger 產生API說明頁面網址。https://datacenter.taichung.gov.tw/swagger/api-docs/,10
177261,114年竊盜案件概況,檔案資料,生活安全及品質,銅,PDF,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/FFE198D6-5ABD-4B4A-8D7D-B6BE3987189A/resource/FE7AD856-6060-4D29-BFE8-92D5771C8C93/download,UTF-8,系統介接程式,114年竊盜案件計發生7.7萬件，以「普通竊盜」占93.70%最多。,文本資料,警政署,不定期更新,政府資料開放授權條款-第1版,,免費,王琇慧,02-23931791#6122,2026-03-18 15:39:57,2026-03-19 14:05:01,本資料集為文本語料資料,0
177257,115年1月人口統計,檔案資料,公共資訊,金,ODS,https://www.matsu.gov.tw/chhtml/adddownloadcount/371030000A/109854?mcfilename=Mcfile2&type=D,其他,原始資料,115年1月連江縣內人口統計,鄉別;村別;鄰數;戶數;人口合計;男;女;遷入;遷出;出生;死亡;結婚;離婚,連江縣政府,不定期更新,政府資料開放授權條款-第1版,,免費,黃典政,0836-25139#6563,2026-03-17 00:00:00,2026-03-17 17:16:17,,28
177240,115年2月花蓮縣使用牌照稅稽徵,檔案資料,交通及通訊,金,CSV,https://ws.hl.gov.tw/001/Upload/518/relfile/22646/204922/77042a1d-60d6-49bc-9187-4a07570218c5.csv,UTF-8,原始資料,花蓮縣車輛件數及稅額,項目;件數合計;稅額合計;應稅車輛件數;應稅車輛稅額;臨時牌照車輛件數;臨時牌照車輛稅額;試車牌照車輛件數;試車牌照車輛稅額;免稅車輛,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,蔡欣華,03-8226121#242,2026-03-14 00:00:00,2026-03-14 13:19:30,,32
177250,106年低碳永續家園專案推動工作成果(線上簽核公文數量-本府與所屬機關),檔案資料,公共資訊,金,CSV,https://webws.miaoli.gov.tw/001/Upload/414/relfile/9718/395815/2a534215-82c9-462a-80b6-1b81bb460af5.csv,BIG5,系統介接程式,106年線上簽核公文數量,年度;月份;量化成果,數位研考處,不定期更新,政府資料開放授權條款-第1版,,免費,黃博君 先生,037-559743,2021-03-08 00:00:00,2026-04-17 08:53:48,,12
177252,經濟部商業發展署單位預算,檔案資料,公共資訊,金,CSV;CSV;CSV;ZIP;CSV,https://www.aoc.gov.tw/F/113budget1csv;https://www.aoc.gov.tw/F/113budget2csv;https://www.aoc.gov.tw/F/114budget1csv;https://www.aoc.gov.tw/F/114budget2zip;https://www.aoc.gov.tw/F/115budget1csv,UTF-8;UTF-8;UTF-8;UTF-8;UTF-8,原始資料,單位預算,年份;檔案名稱;檔案格式;下載網址;備註,經濟部商業發展署,每1年,政府資料開放授權條款-第1版,https://www.aoc.gov.tw/subclass/budgetFiles/136/48,免費,林文晟,049-2359171#5826,2026-03-27 00:00:00,2026-03-19 14:17:01,,1;1;1;1;1
177270,115年度新北市總預算歲出政事別預算比較總表（經資門併計）,檔案資料,公共資訊,白金,CSV,https://data.ntpc.gov.tw/api/datasets/d7b6c004-51e7-40a5-a0cc-9abb06ffee8e/csv/file,UTF-8,系統介接程式,"""1.115年度新北市總預算歲出政事別預算比較總表（經資門併計） 2.單位：新臺幣千元 3.完整資料詳參""""新北市政府主計處網頁->總預算->115年度""""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=d8bf58b2f71362064837b29531822b41)或電洽主計處查詢。""",field1(項目);amounts unit dollars2(本年度預算數);amounts unit dollars3(上年度預算數);amounts unit dollars4(前年度決算數);amounts unit dollars5(本年度與上年度比較),新北市政府主計處,不定期更新,政府資料開放授權條款-第1版,,免費,蔡靜雯,(02)29603456#7463,2026-03-19 00:00:00,2026-03-20 13:54:32,OpenAPI文件下載: https://data.ntpc.gov.tw/api/v1/openapi/units/1180000,23
177263,縣府落實慢經濟的目標與遠景,檔案資料,公共資訊,銅,PDF,https://ttone.taitung.gov.tw/download?id=8scbGD%2Bsfy7Ity3lhtZ7TA%3D%3D,其他,系統介接程式,以完整論述及圖文並茂的內容，描繪臺東美好生活的施政願景，明確勾勒出縣府在落實慢經濟的目標與遠景，即發展自然真實的經濟模式、營造優美的城鄉生活環境、致力多元應用的智慧城市、型塑大臺東藝術文化園區、建構全面完善的社福系統以及打造南島原住民族文化首都，透過六大面向來進行全方位的規劃。, ,國際發展及計畫處,不定期更新,政府資料開放授權條款-第1版,,免費,廖珮詩,322714,2026-03-20 00:00:00,2026-03-20 09:31:02,,0
177264,115年度新北市總預算基金別預算分析表,檔案資料,公共資訊,白金,CSV,https://data.ntpc.gov.tw/api/datasets/f95392b0-2a09-490d-97e4-969be2f7bf62/csv/file,UTF-8,系統介接程式,"""1.115年度新北市總預算基金別預算分析表 2.單位：新臺幣千元 3.完整資料詳參""""新北市政府主計處網頁->總預算->115年度""""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=d8bf58b2f71362064837b29531822b36)或電洽主計處查詢。""",field1(項目);amounts unit dollars2(本年度收入預算數);amounts unit dollars3(本年度支出預算數);amounts unit dollars4(上年度收入預算數);amounts unit dollars5(上年度支出預算數);amounts unit dollars6(本年度收入預算數與上年度收入預算數比較);amounts unit dollars7(本年度支出預算數與上年度支出預算數比較),新北市政府主計處,不定期更新,政府資料開放授權條款-第1版,,免費,蔡靜雯,(02)29603456#7463,2026-03-19 00:00:00,2026-03-20 13:52:17,OpenAPI文件下載: https://data.ntpc.gov.tw/api/v1/openapi/units/1180000,27
177268,115年度新北市總預算歲入歲出簡明比較分析表,檔案資料,公共資訊,白金,CSV,https://data.ntpc.gov.tw/api/datasets/6fa0bba2-7e2d-442d-adf0-c2699f0e3ba5/csv/file,UTF-8,系統介接程式,"""1.115年度新北市總預算歲入歲出簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""""新北市政府主計處網頁->總預算->115年度""""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=d8bf58b2f71362064837b29531822b40)或電洽主計處查詢。""",field1(項目);amountsunitdollars2(本年度預算數);amountsunitdollars3(占本年度歲入合計數/歲出合計數之百分比);amountsunitdollars4(上年度預算數);amountsunitdollars5(占上年度歲入合計數/歲出合計數之百分比);amountsunitdollars6(前年度決算數);amountsunitdollars7(占前年度歲入合計數/歲出合計數之百分比);amountsunitdollars8(本年度較上年度預算增減數);amountsunitdollars9(本年度較上年度預算增減比率),新北市政府主計處,不定期更新,政府資料開放授權條款-第1版,,免費,蔡靜雯,(02)29603456#7463,2026-03-19 00:00:00,2026-03-20 13:53:47,OpenAPI文件下載: https://data.ntpc.gov.tw/api/v1/openapi/units/1180000,22
177272,115年度新北市總預算歲出機關別預算比較總表(經資門併計),檔案資料,公共資訊,白金,CSV,https://data.ntpc.gov.tw/api/datasets/87b954b8-d48d-4bfb-b036-35a6ce5c7109/csv/file,UTF-8,系統介接程式,"""1.115年度新北市總預算歲出機關別預算比較總表(經資門併計) 2.單位：新臺幣千元 3.完整資料詳參""""新北市政府主計處網頁->總預算->115年度""""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=d8bf58b2f71362064837b29531822b43)或電洽主計處查詢。""",field1(項目);amounts unit dollars2(本年度預算數);amounts unit dollars3(上年度預算數);amounts unit dollars4(前年度決算數);amounts unit dollars5(本年度與上年度比較),新北市政府主計處,不定期更新,政府資料開放授權條款-第1版,,免費,蔡靜雯,(02)29603456#7463,2026-03-19 00:00:00,2026-03-20 13:55:03,OpenAPI文件下載: https://data.ntpc.gov.tw/api/v1/openapi/units/1180000,63
177288,附冊 鐵道安全管理系統-實務作業指引與教育訓練教材彙編,檔案資料,交通及通訊,銅,PDF,https://www.motc.gov.tw/uploaddowndoc?file=datagov/1485550898200449024.pdf&filedisplay=27.111年_運輸安全組_附冊：鐵道安全管理系統-實務作業指引與教育訓練教材彙編.pdf&flag=doc,UTF-8,系統介接程式,「精進鐵道安全管理系統12 要項實務作業指引之研析」之研究係彙整出適用於我國鐵道業的四階實務作業指引，涵蓋SMS 的12 要項，包含落實步驟及持續運作機制。營運機構可據此擬定適合自身的程序，或用以檢視既有程序的完備性。本彙編係配合前揭研究，彙整本所之研究成果，期望能協助各鐵道營運機構順利推動安全管理系統，泛用各鐵道營運機構之通用性指引。本彙編的12 要項分類並非唯一做法，營運機構可另行彙整適用於自身的安全管理系統架構，惟其架構應該要能與未來修法要求互相對照，據以涵蓋鐵道營運安全重點工作。,檔案資料,交通部運輸研究所,不定期更新,政府資料開放授權條款-第1版,,免費,何毓芬 小姐,02-23496890,2026-03-23 00:00:00,2026-03-23 18:08:22,,5
177283,郵政博物館場地租用申請書,檔案資料,公共資訊,白金,CSV,https://www.motc.gov.tw/uploaddowndoc?file=datagov/1485465655158247424.csv&filedisplay=郵政博物館場地租用申請書.csv&flag=doc,BIG5,系統介接程式,申請郵政博物館本館各類開放出租場地服務,檔案名稱;格式;下載網址,中華郵政股份有限公司,不定期更新,政府資料開放授權條款-第1版,https://museum.post.gov.tw/post/Postal_Museum/museum/index.jsp?ID=152,免費,許 先生,02-23945185,2026-03-23 00:00:00,2026-03-23 10:30:42,,0
177286,郵政博物館預約參觀申請表,檔案資料,公共資訊,白金,CSV,https://www.motc.gov.tw/uploaddowndoc?file=datagov/1485467417550262272.csv&filedisplay=郵政博物館預約參觀申請表(含本館、臺北館、臺中館、高雄館).csv&flag=doc,BIG5,系統介接程式,申請郵政博物館本館、臺北館、臺中館及高雄館預約參觀服務,檔案名稱;格式;下載網址,中華郵政股份有限公司,不定期更新,政府資料開放授權條款-第1版,https://museum.post.gov.tw/post/Postal_Museum/museum/index.jsp?ID=152,免費,許 先生,02-23945185,2026-03-23 00:00:00,2026-03-23 10:37:24,,0
177284,郵政博物館專業圖書室借書單,檔案資料,公共資訊,白金,CSV,https://www.motc.gov.tw/uploaddowndoc?file=datagov/1485466227114512384.csv&filedisplay=郵政博物館專業圖書室借書單.csv&flag=doc,BIG5,系統介接程式,借閱郵政博物館本館專業圖書室藏書,檔案名稱;格式;下載網址,中華郵政股份有限公司,不定期更新,政府資料開放授權條款-第1版,https://museum.post.gov.tw/post/Postal_Museum/museum/index.jsp?ID=152,免費,許 先生,02-23945185,2026-03-23 00:00:00,2026-03-23 10:32:55,,0
177285,郵政博物館場地租用取消或變更通知書,檔案資料,公共資訊,白金,CSV,https://www.motc.gov.tw/uploaddowndoc?file=datagov/1485466790149492736.csv&filedisplay=郵政博物館場地租用取消或變更通知書.csv&flag=doc,BIG5,系統介接程式,取消或變更郵政博物館本館租用場地,檔案名稱;格式;下載網址,中華郵政股份有限公司,不定期更新,政府資料開放授權條款-第1版,https://museum.post.gov.tw/post/Postal_Museum/museum/index.jsp?ID=152,免費,許 先生,02-23945185,2026-03-23 00:00:00,2026-03-23 10:34:55,,0
177302,新北市115年至116年地價稅稅額計算公式,檔案資料,購屋及遷徙,金,CSV,https://data.ntpc.gov.tw/api/datasets/71af5c93-3905-49ca-b2fe-5fbddc0b325b/csv/file,UTF-8,系統介接程式,提供新北市115年至116年地價稅稅額計算公式,fielda(稅種);calculation_formula_fieldb(計算公式),新北市政府財政局,不定期更新,政府資料開放授權條款-第1版,,免費,徐嘉祺,(02)89528200#602,2026-03-24 00:00:00,2026-03-26 11:53:32,OpenAPI文件下載: https://data.ntpc.gov.tw/api/v1/openapi/units/1020000,10
177292,急診傳染病監測統計-COVID-19,檔案資料,就醫,金,CSV;JSON,https://od.cdc.gov.tw/eic/RODS_COVID-19.csv;https://od.cdc.gov.tw/eic/RODS_COVID-19.json,UTF-8;UTF-8,系統介接程式,各縣市、年齡別及年週之COVID-19急診就診人次統計表，其中COVID-19採國際疾病分類第10版(ICD-10)代碼為「U07.1」者。,年;週;年齡別;縣市;COVID-19急診就診人次;縣市別代碼,衛生福利部疾病管制署,每7日,政府資料開放授權條款-第1版,,免費,鄭小姐,02-23959825#4056,2025-11-04 00:00:00,2026-03-25 11:18:25,年、週、年齡別、縣市、COVID-19急診就診人次、縣市別代碼,
177320,替代役役男團體意外保險作業實施規定,檔案資料,服兵役,白金,PDF,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/11A1145D-E02B-4248-AF2E-EBB04D1F939D/resource/2E3AE7ED-1C12-4340-AE37-521470BAE709/download,UTF-8,系統介接程式,114年4月30日修正替代役役男團體意外保險作業實施規定，定自114年6月1日生效,文本語料,替代役訓練及管理中心,不定期更新,政府資料開放授權條款-第1版,,免費,黃俊隆,049-2394358,2026-03-31 09:38:19,2026-04-10 17:02:11,文本語料,0
177321,替代役役男傷病停役檢定標準,檔案資料,服兵役,白金,PDF,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/A5134EDB-8992-42CF-8B37-F49563C8BAAD/resource/D752E93E-8741-4736-8F6A-44C2C6FA160E/download,UTF-8,系統介接程式,112年11月8日修正替代役役男傷病停役檢定標,文本語料,替代役訓練及管理中心,不定期更新,政府資料開放授權條款-第1版,,免費,黃俊隆,049-2394358,2026-03-31 09:37:37,2026-04-10 17:03:12,文本語料,0
177310,113年度臺中市總決算,檔案資料,公共資訊,白金,CSV,https://newdatacenter.taichung.gov.tw/api/v1/no-auth/resource.download?rid=7b135b26-6160-4afa-b037-4c341ae3b1c3,UTF-8,系統介接程式,113年度臺中市總決算等相關檔案,民國年;縣市別代碼;機關代碼;郵遞區號;電話;編號;表件名稱1;網址,臺中市政府主計處,不定期更新,政府資料開放授權條款-第1版,,免費,陳小姐,22289111+19509,2026-03-26 00:00:00,2026-05-18 09:42:38,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387200000A，Swagger 產生API說明頁面網址。,7
177357,屏東縣道路挖掘施工資訊,檔案資料,交通及通訊,銀,CSV,https://e-road.pthg.gov.tw/openDataService.aspx,UTF-8,系統介接程式,屏東縣道路挖掘施工資訊施工案件說明及施工地點座標,caseProjectName(案件/工程名稱);improvementItems(改善項目);constructionLocation(施工地點);curre (...詳內),工務處,每1日,政府資料開放授權條款-第1版,,免費,郭 先生,08-7320415#3537,2026-04-08 00:00:00,2026-04-09 08:49:15,,0
177358,自動化服務暨轉帳資費限額,檔案資料,公共資訊,白金,CSV,https://www.motc.gov.tw/uploaddowndoc?file=datagov/1491340377142071296.csv&filedisplay=自動化服務暨轉帳資費限額_下載連結.csv&flag=doc,BIG5,系統介接程式,自動櫃員機(含WebATM)服務資費及限額資料,檔案名稱;格式;下載網址,中華郵政股份有限公司,不定期更新,政府資料開放授權條款-第1版,http://www.post.gov.tw/post/internet/Download/all_list.jsp?ID=2201#dl_link_2362,免費,黃國良 先生,(02)2392-1310,2026-04-08 00:00:00,2026-04-09 11:54:51,,0
177363,115年第1季花蓮縣房地交易課稅情形季報表,檔案資料,購屋及遷徙,金,CSV,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjA2NDA3L2ExYzYyMjU3LTI0ZmUtNDU2Yi1hODAyLWRlNDkxMjNiNjFlMi5jc3Y%3d&n=MTE15bm056ysMeWto%2biKseiTrue4o%2baIv%2bWcsOS6pOaYk%2biqsueoheaDheW9ouWto%2bWgseihqC5jc3Y%3d,UTF-8,原始資料,花蓮縣115年第1季房地交易課稅情形季報表,115年第1季;;單位:千元/件,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,游守平,03-8226121#172,2026-04-09 00:00:00,2026-04-09 08:52:53,,5
177350,107年低碳永續家園專案推動工作成果(線上簽核公文數量-基層機關),檔案資料,公共資訊,金,CSV,https://webws.miaoli.gov.tw/001/Upload/414/relfile/9718/148144/9b0bf88d-bcfd-4548-994a-98868d468aaf.csv,BIG5,系統介接程式,107年低碳永續家園專案推動工作成果(線上簽核公文數量-基層機關)-苗栗縣政府計畫處,年度;月份;量化成果,數位研考處,不定期更新,政府資料開放授權條款-第1版,,免費,黃博君 小姐,037-559743,2019-02-22 00:00:00,2026-04-07 08:08:49,,12
177353,115年3月苗栗縣外國人地權登記統計表,檔案資料,購屋及遷徙,金,CSV,https://webws.miaoli.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvb3BlbmRhdGEvMjEwMy8wOTg2MzBlOC04NjRhLTRmM2YtYTNhMy02ZTYwYmYyYmI4YzkuY3N2&n=MTE15bm0M%2baciOiLl%2bagl%2be4o%2bWkluWci%2bS6uuWcsOasiueZu%2biomOe1seioiOihqC5jc3Y%3d&icon=.csv,UTF-8,系統介接程式,115年3月苗栗縣外國人地權登記統計,工作項目;項目;件數;土地筆數;面積;建物棟數;面積,地政處,不定期更新,政府資料開放授權條款-第1版,,免費,彭 先生,037559132,2026-04-01 00:00:00,2026-04-08 10:44:11,,1
177858,新竹市車行地下道視訊畫面,檔案資料,交通及通訊,金,XLS;CSV;XML;JSON,https://odws.hccg.gov.tw/001/Upload/25/opendataback/9059/1996/50844217-f307-465a-908d-2d505289f568.xls;https://odws.hccg.gov.tw/001/Upload/25/opendataback/9059/1996/50844217-f307-465a-908d-2d505289f568.csv;https://odws.hccg.gov.tw/001/Upload/25/opendataback/9059/1996/50844217-f307-465a-908d-2d505289f568.xml;https://odws.hccg.gov.tw/001/Upload/25/opendataback/9059/1996/50844217-f307-465a-908d-2d505289f568.json,UTF-8;UTF-8;UTF-8;UTF-8,系統介接程式,新竹市16處車行地下道視訊畫面,No;站名;經度;緯度;照片連結,新竹市消防局,不定期更新,政府資料開放授權條款-第1版,,免費,郭育呈|,03-5229508#5432,2026-06-25 00:00:00,2026-06-25 10:38:19,,0;0;0;0
177430,115年3月花蓮縣各項稅捐實徵淨額與預算數及上年同期比較-累計數,檔案資料,公共資訊,白金,CSV,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjA2OTY5L2I1ZDY4NDg2LTVlYTMtNGVmOS05ZTg1LTRiODYzNjVkZDUxOS5jc3Y%3d&n=MTE15bm0M%2baciOiKseiTrue4o%2bWQhOmgheeoheaNkOWvpuW%2btea3qOmhjeiIh%2bmgkOeul%2baVuOWPiuS4iuW5tOWQjOacn%2bavlOi8gy3ntK%2foqIjmlbguY3N2,UTF-8,原始資料,花蓮縣各項稅捐實徵淨額與預算數及上年同期比較-累計數,稅目別;累計實徵數合計(新臺幣元);累計實徵數本年度(新臺幣元);累計實徵數以前年度(新臺幣元);累計退還以前年度收入數(新臺幣元);累計實徵淨額(新臺幣元);全年度預算數(新臺幣元);累計實徵淨額占全年預算數百分比(%);同期分配預算數(新臺幣元);累計實徵淨額占同期分配預算數百分比(%);上年同期實徵淨額(新臺幣元);累計實徵淨額與上年同期比較增減(%),花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,陳可威,03-8226121#153,2026-04-16 00:00:00,2026-04-16 11:14:09,,25
177431,115年3月花蓮縣各項稅捐本月實徵數簡報表,檔案資料,公共資訊,白金,CSV,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjA2OTcwL2M1YTkwZDY1LTYyZTAtNDdjOS1iNmMwLTNmMGFhODdjOWYwZi5jc3Y%3d&n=MTE15bm0M%2baciOiKseiTrue4o%2bWQhOmgheeoheaNkOacrOaciOWvpuW%2bteaVuOewoeWgseihqC5jc3Y%3d,UTF-8,原始資料,花蓮縣各項稅捐本月實徵數簡報表,項目別;本月實徵數本年度(新臺幣元);本月實徵數以前年度(新臺幣元);本月退還以前年度歲入款(新臺幣元),花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,陳可威,03-8226121#153,2026-04-16 00:00:00,2026-04-16 11:16:56,,25
177472,臺中市職場互助教保服務中心名冊,檔案資料,求學及進修,白金,CSV,https://newdatacenter.taichung.gov.tw/api/v1/no-auth/resource.download?rid=5011d8ce-43be-4e78-9ed0-49d838edd036,UTF-8,系統介接程式,編號、鄉鎮、幼兒園名稱、幼兒園電話、幼兒園住址、核定總招收人數,編號;縣市;鄉鎮;設立別;幼兒園名稱;幼兒園電話;幼兒園住址;核定總招收人數,臺中市政府教育局,不定期更新,政府資料開放授權條款-第1版,,免費,黃子禎,0422289111*54434,2026-04-22 00:00:00,2026-04-22 17:45:01,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387040000E，Swagger 產生API說明頁面網址。,17
177490,就業率-按年齡別,檔案資料,公共資訊,白金,XML,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230038/mp0101a13.xml,UTF-8,原始資料,本資料集統計各年齡層的就業率，涵蓋從青少年至高齡者的就業情況。可協助政府、研究機構與企業分析不同年齡群的勞動市場表現，制定或調整就業政策與人才培育策略。研究者亦可利用此資料觀測就業率隨時間變化的趨勢，評估經濟衝擊對各年齡層的影響。,項目別;民國100年_百分比;民國101年_百分比;民國102年_百分比;民國103年_百分比;民國104年_百分比;民國105年_百分比;民國106年_百分比;民國107年_百分比;民國108年_百分比;民國109年_百分比;民國110年_百分比;民國111年_百分比;民國112年_百分比;民國113年_百分比;民國114年_百分比,行政院主計總處,每1年,政府資料開放授權條款-第1版,,免費,徐小姐,02-23803618,2026-05-04 00:00:00,2026-04-29 10:51:17,,45
177491,就業率-按教育程度別,檔案資料,公共資訊,白金,XML,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230038/mp0101a14.xml,UTF-8,原始資料,本資料集統計不同教育程度（如國中、高中、大學及以上）之就業率，呈現各層級在全國或特定區域的就業情況。研究者、政策制定者及求職者可利用此資訊分析教育與就業之關聯，評估人才供需與制定職涯或教育政策。,項目別;民國100年_百分比;民國101年_百分比;民國102年_百分比;民國103年_百分比;民國104年_百分比;民國105年_百分比;民國106年_百分比;民國107年_百分比;民國108年_百分比;民國109年_百分比;民國110年_百分比;民國111年_百分比;民國112年_百分比;民國113年_百分比;民國114年_百分比,行政院主計總處,每1年,政府資料開放授權條款-第1版,,免費,徐小姐,02-23803618,2026-05-04 00:00:00,2026-04-29 10:54:56,,36
177799,115年度全國鄉鎮市區民代表團體傷害保險（富邦產險）之統計,檔案資料,公共資訊,白金,CSV,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/A38AD665-0405-4400-A7FD-E47773B4FFC9/resource/DB69FFAA-904D-4AC8-AD1C-D355BF674623/download,UTF-8,系統介接程式,115年，第1季，第2季，第3季，第4季，全國鄉鎮市區民代表，團體傷害保險，縣（市）別,Date(日期);County_or _city(縣市別);Number_of_town_elected_representatives(代表總人數);Insured_number_of_town_elected_representatives(代表投保人數);Insurance_rate(投保率),民政司,不定期更新,政府資料開放授權條款-第1版,,免費,許富凱,02-23565414,2026-06-22 17:24:58,2026-06-22 17:27:14,,17
177677,反共義士、大陸榮胞及滇緬義民人數,檔案資料,公共資訊,白金,CSV,https://www.vac.gov.tw/files/k3反共義士、大陸榮胞及滇緬義民人數.csv,UTF-8,原始資料,提供具榮民身分之反共義士、大陸榮胞及滇緬義民人數(每年底)依現有及亡故人數統計,民國年底;身分別;總人數;現有人數;亡故人數,國軍退除役官兵輔導委員會,每1年,政府資料開放授權條款-第1版,,免費,劉素梅,02-27570572,2026-06-01 00:00:00,2026-06-01 09:46:35,,21
